Unnamed: 0,titles,category
77,윤석열 입은 점퍼  한동훈과 특검 때 함께 입던 옷    녹취록 ,Politics
78,이인제   이재명   우리 북한  작심하고 한 말 ,Politics
79,이준석  한동훈  삼일천하 도 안돼 어설픈 봉합으로 진퇴양난 ,Politics
80,이재명  윤 한  서천 봉합 에  그곳에서 정치쇼  역사에 남을 것 ,Politics
81,국힘 혼란할 때면 두더지처럼 쑥쑥 튀어나와 분란 부채질하는 사람들  기자  시 ,Politics
82,응답자      김건희 여사  명품 가방  논란  대통령이 직접 입장 밝혀야 ,Politics
83,윤석열 향한 한동훈의   도 인사 갈등 봉합  돌고 돌아 민주당 가는 이언주,Politics
84, 뉴스라이브  조응천  수박 나가니 이젠 멜론 압박 ,Politics
85,   예비군 동원훈련  년  년 보상비   만원 주겠다 ,Politics
86,윤석열    한동훈  지금은 예고편에 불과 본편은 공천 싸움 ,Politics
87,민주 총선  공약 발표  사병 휴대전화 요금 할인비율    로 ,Politics
88,합참     서해 일대에서 순항미사일 여러 발 발사  화살    형에 무게,Politics
89,  공관위원장      갈등봉합에  굿뉴스  김경율 전략공천 가능성도,Politics
90,금태섭     한동훈 비판 전 본인들부터  유권자 공감 얻기 어려워 ,Politics
91,   서해 일대에서 순항미사일 수발 쏴       추가 징후 주시   종합 ,Politics
92,김웅  김 여사  사저 가거나 외국 나가는 정도 방법 취해야 ,Politics
93,미래 권력에 줄 서나   친윤 의 침묵,Politics
94,   해일 시험 닷새 만에 순항미사일 쏴 올해  번째 도발 일지 ,Politics
95, 반윤 이면  반문 도 좋다 민주당 계파갈등 자극하는 이언주 복당 논란,Politics
96,   이번엔 순항미사일 도발  서해 일대서 여러 발 발사 ,Politics
97,중대재해법        유예 마지막까지 최선        산안청 수용해야 ,Politics
98,이재명  절규하는 국민 앞에서 정치쇼  야   윤 한 화해  이틀째 맹폭,Politics
99,이재명  재난현장 배경으로 정치쇼 역사에 남을 사건 ,Politics
100,   이번엔 서해상으로 순항미사일 발사     추가활동 주시 중  종합 ,Politics
101,      년부터 풍계리 핵실험장 건설 추정  비밀 해제  위성사진 공개,Politics
102,원희룡   김건희 명품백 논란   국민 납득할 수 있게 풀긴 풀어야 ,Politics
103, 그냥 가면 뭐하러 오신 거야  상인들 분노    정치쇼 이용 ,Politics
104,민주  윤 한  화재 현장서  갈등 봉합쇼  재난을 장식품으로 활용 ,Politics
105,김웅  김건희 명품백  해결책은 과거       복기 납작 엎드려야 ,Politics
106,김경율  사퇴 의사 없다 김 여사 명품백 입장은 밝혀야 ,Politics
107,부산  개 지역구 전략공천  원외 정치신인들 전전긍긍,Politics
108,    갈등은 봉합     김건희 리스크 는 여전  우려,Politics
109, 전격시사  김근식    한동훈  서둘러 봉합 한동훈 판정승   김준일    한동훈  윈 윈 아닌 루즈 루즈 게임 ,Politics
110,   해외 나가야  주장까지 국민의힘   김건희 리스크  여진,Politics
111, 연합뉴스 이 시각 헤드라인         ,Politics
112, 디올백 이 대통령기록물      에르메스백  전례로 따져보니,Politics
113,김남국  햄버거집서 소개팅 비싸서 하나 나눠먹었다 ,Politics
114,국민의힘 공관위  전략공천   곳까지     주호영 감점 제외  등 이의신청은 결론 못 내,Politics
115, 다 진 게임 김건희 여사  사저나 외국 나가야 국면 전환 ,Politics
116,이재명  서천시장 봉합쇼  수해 현장서 사진 타령하던 장면 떠올라 ,Politics
117, 의전이냐   배짱 부족    향한    폴더 인사  비판하는 정치권,Politics
118,합참  북한  서해로 순항미사일 여러 발 발사 ,Politics
119,속도 붙는 제  지대 빅텐트 이준석 양향자 먼저,Politics
120,봉합열차 탄     명품백 사천 논란  갈등 불씨  여전  이런정치 ,Politics
121,한동훈  김 여사 질문에  이미 충분히 말해    김경률 사퇴  들은 바 없어 ,Politics
122, 정치쇼  박성태 이재명      봉합  디올백 김경율 용핵관 공천 문제 남았다 ,Politics
123, 김경율 사퇴로 출구  김여사는   쏟아진 질문에 말 아낀 한동훈  현장영상 ,Politics
124,한동훈   김여사 사과 필요한가  질문에  제 생각 충분히 말씀드렸다 ,Politics
125,대통령의  인신공격  화법  증오 키운다,Politics
126, 열차 같이 탑시다    제안에 한동훈이 보인 반응   녹취록 ,Politics
127, 김 여사 가방 수수  국민      대통령이 입장 밝혀야 ,Politics
128, 영상   김건희 여사의 사과 필요한가  묻자 한동훈  지금까지 말한 것에 대해 더 말하지 않겠다 ,Politics
129, 전격시사  김무성  이준석 제 신당과 같이 할 생각 전혀 없어 ,Politics
130, 일타 박성민   윤 한 충돌 왜  이 졌는가  ,Politics
131,원희룡  명품백 논란    선동 끌려갈 이유 없지만 풀긴 풀어야 ,Politics
132, 속보  합참  북  서해상으로 순항미사일 여러 발 발사 ,Politics
133, 김건희 리스크 에 침묵하는 한동훈  더 말씀드리지 않겠다 ,Politics
134, 이번 주 안에 결론 내야  제 지대 민주 계열 선통합 가능성,Politics
135,김웅  김건희 여사  사저로 가든지 외국에 나가 있든지 해야 ,Politics
136,신평  윤 한 갈등  해소 안돼      중도확장력 미약하니 만회하려다 무리 ,Politics
137,한동훈   김경율 사퇴설 에  그런 얘기 들은 바 없다 ,Politics
138, 김건희 리스크  해법 분분  대통령 입장 내야      사과 무의미 ,Politics
139,김무성  김건희  사과문 내고 대통령이 유감의 뜻 표해야 ,Politics
140,윤  같이 타자  한  자리 있습니까  열차 동승해 서울로,Politics
141, 전격시사  금태섭    한동훈 갈등  정당 제도의 근간 무너뜨려 ,Politics
142,이언주  민주당으로 다시 복당   이재명이 제안했다    녹취록 ,Politics
143, 정치쇼  박주민    당무개입 법적 문제 세밀 검토할 것 ,Politics
144, 비명  잡겠다는 친명 비례들  왜 집안싸움 일으키나 ,Politics
145,박지원       빽전쟁  봉합되지 않아 언 발에 오줌 누기 ,Politics
146,한동훈  김경률 사퇴설에  들은 바 없다 김건희는 더 말 안해 ,Politics
147,신평   김건희 논란  만든 한동훈에  유망 정치인과 공동비대위원장 체제 해야 ,Politics
148,김건희 향해  황후마마냐     이언주  민주당 복당 고심,Politics
149, 정치쇼  논란 서천시장 이준석     화재 구경갔나   피해상인 안 만나 ,Politics
150,지난해 경쟁률의  배 북한 도발하자 해병대 지원자 뛰었다,Politics
151,한동훈  내가 해온 것들은 민생 좋게 만들기 위함  도 마찬가지 ,Politics
152,이상민  김경율  지금 그만두면 입 틀어막는 것밖에 안 돼 ,Politics
153, 정치쇼  신평      만난다고 갈등 해소 안돼   한계 보완할 인물 많다 ,Politics
154, 또 해먹나  비판받는 김무성  난 올드보이 아닌 골든보이 ,Politics
155, 자막뉴스  결국 선 넘은 집안싸움  혼돈의 민주당  위험 예고 ,Politics
156, 영상   과 전용열차 함께 탄 한동훈    여권 분열  봉합 국면에 들어섰다,Politics
157, 월간중앙  직격 인터뷰    노동 교육 연금개혁에서 청년층에 어필 보수 본진   에서도   확보 가능 ,Politics
158,허은아   지대 합당 불발 안될 것 마음 바뀐 국민의힘 현역 많아 ,Politics
159,김무성  김건희  사과문 내고 대통령이 유감의 뜻 표해야 ,Politics
160,윤  같이 타자  한  자리 있습니까  열차 동승해 서울로,Politics
161, 전격시사  금태섭    한동훈 갈등  정당 제도의 근간 무너뜨려 ,Politics
162,이언주  민주당으로 다시 복당   이재명이 제안했다    녹취록 ,Politics
163, 정치쇼  박주민    당무개입 법적 문제 세밀 검토할 것 ,Politics
164, 비명  잡겠다는 친명 비례들  왜 집안싸움 일으키나 ,Politics
165,박지원       빽전쟁  봉합되지 않아 언 발에 오줌 누기 ,Politics
166,한동훈  김경률 사퇴설에  들은 바 없다 김건희는 더 말 안해 ,Politics
167,신평   김건희 논란  만든 한동훈에  유망 정치인과 공동비대위원장 체제 해야 ,Politics
168,김건희 향해  황후마마냐     이언주  민주당 복당 고심,Politics
169, 정치쇼  논란 서천시장 이준석     화재 구경갔나   피해상인 안 만나 ,Politics
170,지난해 경쟁률의  배 북한 도발하자 해병대 지원자 뛰었다,Politics
171,한동훈  내가 해온 것들은 민생 좋게 만들기 위함  도 마찬가지 ,Politics
172,이상민  김경율  지금 그만두면 입 틀어막는 것밖에 안 돼 ,Politics
173, 정치쇼  신평      만난다고 갈등 해소 안돼   한계 보완할 인물 많다 ,Politics
174, 또 해먹나  비판받는 김무성  난 올드보이 아닌 골든보이 ,Politics
175, 자막뉴스  결국 선 넘은 집안싸움  혼돈의 민주당  위험 예고 ,Politics
176, 영상   과 전용열차 함께 탄 한동훈    여권 분열  봉합 국면에 들어섰다,Politics
177, 월간중앙  직격 인터뷰    노동 교육 연금개혁에서 청년층에 어필 보수 본진   에서도   확보 가능 ,Politics
178,허은아   지대 합당 불발 안될 것 마음 바뀐 국민의힘 현역 많아 ,Politics
179,한동훈  폴더 인사  대통령  어깨 툭 뉴스쏙 속 ,Politics
180,김경율  사퇴 생각 없다 김건희 여사가 명품백 입장 밝혀야 ,Politics
181, 영상 김영배  대통령실 한동훈 갈등  짜고치는 고스톱  신율의 이슈메이커 ,Politics
182,연안 항만 방어 최강  유도탄고속함  빠른 기동성 유도무기 탑재로 대형구축함도 격침 이현호 기자의 밀리터리 톡 ,Politics
183, 윤 한 충돌  약속대련이 아닌 이유 서초동 아닌  여의도 속성 ,Politics
184,이용호  당원이라면 누구든지 비대위원장 거취 얘기할 수 있어 ,Politics
185,이용호  사퇴 요구가 당무개입  대통령도 당원이라 의견 제시 가능 ,Politics
186, 김건희 여사 사과 필요없고 수사받아야  박용진 직격,Politics
187,공지영  이준석 예뻐보여  한동훈 국힘이지만 맞는 말  하태경  용기있는 고백 ,Politics
188, 친명  양이원영  비명 양기대에 도전장 민주  자객 출마  논란 지속,Politics
189,서천 상인 목소리는 외면      현장서 직접 피해 상인들과 대화 ,Politics
190, 같이 가자   자리 있나요      갈등 사흘만에 봉합 분위기,Politics
191, 단독  김건희  당이 사과 결정하면 따를 것  의사전달    공세  우려에 결론 못내,Politics
192,국민의힘   연패한 지역  전략공천 가능  서울 마포을 인천 계양을 해당,Politics
193,이원욱  제 지대 통합 위해 당명 대표 공천까지도 양보 가능  한판승부 ,Politics
194,배종찬  윤 한 갈등에서 한동훈 버틴 이유  높은 지지율 덕  한판승부 ,Politics
195,이준석  한동훈   차전 약속대련서 우세승    차전 있을 것  예측,Politics
196, 에 무심하던    김정은 위협에 주목 전선확대 우려하는듯,Politics
197,김경율  사퇴할 뜻 없다 김건희 명품백 입장 밝혀야 ,Politics
198,명품백 대응 김경율 거취 윤 대통령 한동훈  뇌관  그대로,Politics
199,인구절벽에 병역제도 바꾼다   예비역 병장도 하사로 임명 ,Politics
200,신평  한동훈에 충고  현재 권력 이길 생각 버려라  그건 망상 ,Politics
201,이용호  김건희 사과 불필요  이슈 자체가 소진된 상황  한판승부 ,Politics
202,한동훈  이재명에 쏠렸던 관심 찾아왔다 검색량 폭발  신현보의 딥데이터 ,Politics
203,명품 가방 수수  김건희가 아니라 김정숙이었다면   김은지의 뉴스   ,Politics
204, 명품 가방 반환하면 국고 횡령   사과 아닌 수사 대상 ,Politics
205,   전용 열차 같이 타자   한동훈  자리 있습니까 ,Politics
206,진중권      갈등  김경율 거취로 판가름 김경율 계속 가는 게 대통령한테도 나쁘지 않아 ,Politics
207, 마이웨이  김경율  사퇴 안 해 김 여사  입장 밝혀야 ,Politics
208,충돌 이틀 만에 전격 회동 서둘러 봉합 나선 속내는,Politics
209, 김경율 사퇴 도 미봉책  불씨 여전,Politics
210,     갈등 일단 봉합  김경율 사퇴  가능성은 ,Politics
211,손 맞잡은   한동훈  암 투병  전여옥 울컥  두 분에 이 나라  운명  걸려 ,Politics
212,     직접 대화로 갈등  조기 진화   민생현장서 소통 시작 기회 마련 ,Politics
213,    회 연속 패배 지역은  전략공천 ,Politics
214,박영선   장관  반도체  국가간 리그의 핵심    클러스터  반드시 해야 할 일   세상을 보는 창 ,Politics
215,민주  총선 예비후보 간 신경전에 자제령 계파전 양상에 경고,Politics
216,  인 비서국  꽉꽉 채운     핵심 리병철 해임 등  회전문 인사 는 여전,Politics
217, 단독  도발에  목숨 걸고 나라 지킨다  한때 미달 해병대 지원   대   급증,Politics
218,상인들  불구경 왔냐  항의 대통령실  상인 모두 박수 ,Politics
219,민주  아무리      브로맨스 화해쇼  급했다지만  ,Politics
220, 에선 미사일 받고  에는  관계 회복    알쏭달쏭  러시아 속내,Politics
221,   공무원이 떠난 빈자리    대  잘파 희망 이 채운다,Politics
222, 지대  이낙연 광주 출마 압박  정작 텃밭인 호남 민심은 싸늘,Politics
223,이낙연 신당 미래대연합 주내 통합 마무리,Politics
224, 책임론 부상  김경율 물러날까,Politics
225,마포갑 을  계양을  해운대갑    최대   개 지역 전략공천,Politics
226, 윤 한 충돌  봉합 시도하지만 김건희 리스크 불씨는 그대로,Politics
227,   열차 함께 타자     자리 있습니까 ,Politics
228,   김건희 리스크  엇갈린 해법   몰카 정치공작   입장 표명해야 ,Politics
229,   한파 속   분 기다린 한동훈 어깨 치며 친근감     도 허리 숙여 인사,Politics
230,윤 한  갈등 봉합 수순에  갈등 촉발자  김경율 사퇴하나,Politics
231,     어깨 두드리고 열차  동반 탑승 ,Politics
232,추미애    키운 임종석 노영민 출마 안 돼 ,Politics
233,김건희 명품백은  대통령선물  아닌데 왜 돌려주지 않을까,Politics
234,     한동훈 브로맨스 화해쇼      저급한 인식 ,Politics
235,백종원에 여 야 모두  정계 진출  러브콜,Politics
236,깍듯이   도 인사한    어깨 툭 치며 악수한  ,Politics
237,당 장악력 커진  ,Politics
238,민주당  정권심판론 명분 사라질 수도  우려,Politics
239,   자리 있습니까  묻자   대통령  어  같이 올라가자 ,Politics
240,  특검법  갈등 불씨    일부  특검 받아 리스크 털자 ,Politics
241,국민의힘  이재명 정청래 저격수 투입 길 열어 놨다,Politics
242,속도 못 내는 제 지대 빅텐트 만들기   기호  번  난망,Politics
243, 발달장애아 왜 낳았노  말한 부산 북구청장 사과했지만 ,Politics
244,이철규  한동훈 사퇴설에  너무 나간 얘기 긍정적으로 잘 봉합될 것 ,Politics
245,  도 서천 갑니다  보고에   대통령  같이 가자 ,Politics
246,대통령실  봉합 시간걸려     숙제 못풀어    여사 공천 불씨 여전,Politics
247,벼랑 끝 여권 갈등  재난 앞에 멈췄다   주일간 무슨 일이,Politics
248,    도 인사     열차 같이 타고 가자    주로 민생 얘기 ,Politics
249,친윤  김경율 비대위원 사퇴해야      사퇴 생각 없다 ,Politics
250,한동훈   대통령에 깊은 존중 신뢰 있다   핵심 쟁점은 언급 안해,Politics
251,민주당  컷오프  대 범죄 에 음주 전과 이재명은 안 걸려,Politics
252,친명  이젠 친문 핵심 노려  지역구 표적 출마,Politics
253,열차 타고 마주앉은  시간  민생 얘기 길게 나눴다,Politics
254,윤석열 정권의 여당대표 잔혹사 왜 계속되나 ,Politics
255,김경율 사퇴  김건희 입장표명      갈등 출구전략 주목  정국 기상대 ,Politics
256,한동훈  열차 자리 있습니까  윤석열  어  같이 올라가자 ,Politics
257,한동훈 화법   이재명 민주당     회   윤석열 김건희   회,Politics
258, 사퇴  논란 이틀 만 조우 윤석열 한동훈 일단은 화해 선택 ,Politics
259,   자리 있습니까  묻자   대통령  어  같이 올라가자 ,Politics
260,  특검법  갈등 불씨    일부  특검 받아 리스크 털자 ,Politics
261,국민의힘  이재명 정청래 저격수 투입 길 열어 놨다,Politics
262,속도 못 내는 제 지대 빅텐트 만들기   기호  번  난망,Politics
263, 발달장애아 왜 낳았노  말한 부산 북구청장 사과했지만 ,Politics
264,이철규  한동훈 사퇴설에  너무 나간 얘기 긍정적으로 잘 봉합될 것 ,Politics
265,  도 서천 갑니다  보고에   대통령  같이 가자 ,Politics
266,대통령실  봉합 시간걸려     숙제 못풀어    여사 공천 불씨 여전,Politics
267,벼랑 끝 여권 갈등  재난 앞에 멈췄다   주일간 무슨 일이,Politics
268,    도 인사     열차 같이 타고 가자    주로 민생 얘기 ,Politics
269,친윤  김경율 비대위원 사퇴해야      사퇴 생각 없다 ,Politics
270,한동훈   대통령에 깊은 존중 신뢰 있다   핵심 쟁점은 언급 안해,Politics
271,  공관위  세번 연속 진 곳 전략공천   마포을도 해당,Politics
272,해운대갑 사상 중영도  전략공천  가능성 치열해진 경쟁 최대 변수 급부상,Politics
273,   경선없는 공천   곳   가능토록 해  예외없는 상향식  혁신안과 멀어져,Politics
274,국민의힘  단수 전략공천 기준 공개  시스템 공천  강조,Politics
275,김여사 디올백 발언 후 국힘 탈당 이언주  민주당 재입당할 듯,Politics
276, 김건희 사과 사천 논란  갈등 털어낸  윤 한 동행  시간  분 ,Politics
277, 김건희 리스크 사천 논란    갈등 뇌관은 그대로,Politics
278, 국힘 탈당  이언주 전 의원  돌고돌아 민주당 재입당할 듯,Politics
279,국민의힘  서울 마포을 등  연패 지역구 전략공천한다,Politics
280,김경율 거론된 마포을 등     회 연속 패배 지역에 전략공천,Politics
281,    당 총선  회 연속 패배  험지 출마자 우선추천 종합 ,Politics
282,   후보 경쟁력 낮거나 총선  연패한 곳  전략공천 가능 ,Politics
283, 정면승부  정성호  대통령 무시하고  한동훈  독자 공천하기 어려울 것 ,Politics
284,    회연속 패배지역 전략공천   이재명 정청래 지역도 해당,Politics
285,국힘  서울 마포을 인천 계양을  전략공천  가능성 높아져,Politics
286, 단독  김건희  최근  당이 사과 결정하면 따를 것  의사전달    공세  우려에 결론 못내,Politics
287,친윤계 이철규    사퇴요구는 너무 나간 얘기  김경율  해명글 올렸다 삭제,Politics
288,김경률 겨냥한  친윤   김건희 앙투아네트  마녀사냥 하는 모습 자제해야 ,Politics
289,이상민  한동훈 사퇴요구 논란에  대통령 비서실장이 책임져야 ,Politics
290, 속보    공관위  여론조사  위 후보 지지율이  위 두배 이상이면 단수 공천 ,Politics
291,임혁백 공관위  이재명 사법리스크 돈봉투 의원에 벌써부터 관대 ,Politics
292,여당 탈당 이언주  돌고 돌아 다시 민주당으로,Politics
293,여   회 연속 패배 지역에 전략공천 서울 마포을 등 해당 종합 ,Politics
294,윤 대통령  여권 장악력  훼손 한동훈  홀로서기  일부 성과,Politics
295,국민의힘  지지율 월등히 높으면  단수공천  불출마 컷오프 지역은  우선공천 ,Politics
296,이준석  윤 대통령    한동훈   차전 한동훈 우세승    차전 있을듯 ,Politics
297,불씨 안고  윤 한 충돌  일단 봉합,Politics
298,민주  피해 상인은 안 만나   윤석열 한동훈 정치쇼 ,Politics
299,국민의힘 공관위   회 연속 패배 지역은 전략 공천 ,Politics
300, 정면승부  송영훈    한  오해 풀 정도 소통 있었을 것  성치훈  이틀만에 수습되지,Politics
301, 불구경 왔나  윤석열 한동훈  화해 배경 으로 쓰인 화재 현장   김은지의 뉴스   ,Politics
302,윤  같이 가자  한  깊은 존중  총선 공멸 위기감에 서둘러 손잡아,Politics
303,국힘  경선서  회 이상 경고시 후보자 자격 박탈 현역 컷오프 지역 우선추천,Politics
304,국민의힘 공관위   여론조사 지지율  배 차이 나면 단수 공천 ,Politics
305, 공관위   연속 패배 지역 전략공천    김경율 거론된 마포을도 해당,Politics
306,고민정      어깨 툭 으로 끝    대통령 멱살  한동훈  뭘 하든 바지사장 될 것  여의도초대석 ,Politics
307, 예상 못한 만남  이례적 생중계 화해 수습에 적극적  왜 ,Politics
308,  공관위  부산 해운대갑 인천 계양을 서울 마포을 전략 공천,Politics
309,여 공관위   회 이상 경고시 경선 후보 자격 박탈키로,Politics
310,일정 당겨 내려갔다 올라올 땐  깜짝 동승   꼬인 것들 풀렸다 ,Politics
311, 뉴스라운지  윤석열 만난 한동훈  신뢰 변함 없어    갈등 봉합 수순 ,Politics
312, 여랑야랑 윤 한 충돌  실전같은 약속대련    홍익표  인신공격 말라 ,Politics
313,안철수  김건희 명품백 논란에  진정 어린 입장 표명 필요  사과 거듭 주장,Politics
314,김경율  비대위 사퇴  또는  불출마  하면 갈등 봉합 ,Politics
315, 자막뉴스     온대서 기다렸는데 당했다    울분 토한 서천 상인들,Politics
316, 공관위원장  후보간 인신공격 엄격 조처  계파 과열경쟁 경고 종합 ,Politics
317,대통령실  서천 상인 분노에 해명  상인    명 만나 위로 ,Politics
318,친윤  김경율  비대위원 사퇴해야     사퇴 생각 없다 ,Politics
319,이낙연 신당 미래대연합 우선 합칠 듯,Politics
320,김은혜 김병욱    기 신도시 특별법  신경전  국민은 두 번 속지 않아      속기록 보고 오라 ,Politics
321, 격전지 속으로  보수세 확산이냐 저지냐  민심 가늠자  강동갑,Politics
322, 영상   한동훈       티셔츠 꽃게 제스쳐로 유난 떨더니 결국 반공 올드보이  ,Politics
323,이준석   차 약속대련은 한동훈 우세승    차전 있을 것 ,Politics
324, 아는기자 갈등 봉합 위한 대통령실의  두 가지 조건  ,Politics
325,민주당 공천 갈등은 현재진행형  수박 이어 멜론도 나가라 ,Politics
326, 친명  양이원영  비명 양기대에 도전장 민주  자객 출마  논란 지속,Politics
327,김경율   마리 앙투아네트  발언  김건희 여사와 비교 아냐 ,Politics
328, 뉴스추적  윤석열 한동훈 갈등 봉합 국면 관건은 김경율 거취,Politics
329, 아는기자 한동훈  윤 대통령에    도 인사 ,Politics
330,윤 대통령  참모진 설득에  한동훈 만나겠다 ,Politics
331,현역 출마 공약 러시  대전 정치권 총선 레이스 분주,Politics
332,친명  비명 지역구 잇단 출사표   집안싸움 위험 수위,Politics
333,또 비명 저격 출마 선언 과열 경쟁 우려에 홍익표  경쟁자 존중을 ,Politics
334,윤  같이 타자  한  자리 있습니까  열차 동승해 서울로,Politics
